data_publicacao,slug,nome,cidade,estado,total_elegiveis,aluguel_mediana_m2,custo_total_mediana_m2,venda_mediana_m2,aluguel_q1,aluguel_mediana,aluguel_q3,venda_q1,venda_mediana,venda_q3,custo_index,data_referencia
2026-06-07,agua-rasa,AGUA RASA,São Paulo,SP,34,46.13,48.18,,1835.0,2657.5,4831.5,,,,30,2026-06-07
2026-06-07,alto-de-pinheiros,ALTO DE PINHEIROS,São Paulo,SP,3,,,,,,,,,,50,2026-06-07
2026-06-07,anhanguera,ANHANGUERA,São Paulo,SP,1,,,,,,,,,,50,2026-06-07
2026-06-07,aricanduva,ARICANDUVA,São Paulo,SP,1,,,,,,,,,,50,2026-06-07
2026-06-07,barra-funda,BARRA FUNDA,São Paulo,SP,18,78.51,79.51,,2348.5,3693.5,8415.25,,,,52,2026-06-07
2026-06-07,bela-vista,BELA VISTA,São Paulo,SP,733,90.01,101.74,,3000.0,5135.0,10400.0,,,,60,2026-06-07
2026-06-07,belem,BELEM,São Paulo,SP,13,74.35,74.35,,1981.0,2592.0,3544.5,,,,49,2026-06-07
2026-06-07,bom-retiro,BOM RETIRO,São Paulo,SP,65,40.82,57.27,,2000.0,2976.0,3900.0,,,,27,2026-06-07
2026-06-07,cambuci,CAMBUCI,São Paulo,SP,55,65.47,65.47,,2232.0,2739.0,3490.0,,,,43,2026-06-07
2026-06-07,campo-belo,CAMPO BELO,São Paulo,SP,80,90.19,116.8,,3200.0,3882.5,4700.0,,,,60,2026-06-07
2026-06-07,campo-grande,CAMPO GRANDE,São Paulo,SP,1,,,,,,,,,,50,2026-06-07
2026-06-07,carrao,CARRAO,São Paulo,SP,1,,,,,,,,,,50,2026-06-07
2026-06-07,casa-verde,CASA VERDE,São Paulo,SP,67,44.01,44.01,,1790.0,2532.0,4631.0,,,,29,2026-06-07
2026-06-07,consolacao,CONSOLACAO,São Paulo,SP,562,87.07,101.72,,3676.5,4908.0,13025.0,,,,58,2026-06-07
2026-06-07,cursino,CURSINO,São Paulo,SP,62,39.71,39.71,,3950.0,27000.0,27000.0,,,,26,2026-06-07
2026-06-07,itaim-bibi,ITAIM BIBI,São Paulo,SP,2364,100.0,118.47,,4600.0,8011.5,16819.5,,,,66,2026-06-07
2026-06-07,jabaquara,JABAQUARA,São Paulo,SP,137,56.91,62.7,,2200.0,3372.0,5006.0,,,,37,2026-06-07
2026-06-07,jaguare,JAGUARE,São Paulo,SP,18,60.67,60.67,,2049.0,2354.0,3017.0,,,,40,2026-06-07
2026-06-07,jardim-paulista,JARDIM PAULISTA,São Paulo,SP,1575,81.43,103.47,,3050.0,4916.0,15000.0,,,,54,2026-06-07
2026-06-07,lapa,LAPA,São Paulo,SP,38,89.72,102.37,,2299.75,3098.5,6007.25,,,,59,2026-06-07
2026-06-07,liberdade,LIBERDADE,São Paulo,SP,85,67.56,71.75,,2249.0,2938.0,3950.0,,,,45,2026-06-07
2026-06-07,limao,LIMAO,São Paulo,SP,3,,,,,,,,,,50,2026-06-07
2026-06-07,moema,MOEMA,São Paulo,SP,1276,100.0,112.42,,5204.5,12000.0,29011.25,,,,66,2026-06-07
2026-06-07,mooca,MOOCA,São Paulo,SP,9,38.0,38.0,,3222.5,3460.0,7288.5,,,,25,2026-06-07
2026-06-07,morumbi,MORUMBI,São Paulo,SP,121,58.76,58.76,,3447.0,9959.0,18720.5,,,,39,2026-06-07
2026-06-07,perdizes,PERDIZES,São Paulo,SP,549,83.33,87.5,,3499.0,5347.0,9800.0,,,,55,2026-06-07
2026-06-07,pinheiros,PINHEIROS,São Paulo,SP,310,119.68,125.45,,3811.5,5718.5,8491.0,,,,79,2026-06-07
2026-06-07,republica,REPUBLICA,São Paulo,SP,234,74.33,80.37,,2267.5,2939.0,3500.0,,,,49,2026-06-07
2026-06-07,rio-pequeno,RIO PEQUENO,São Paulo,SP,2,,,,,,,,,,50,2026-06-07
2026-06-07,santa-cecilia,SANTA CECILIA,São Paulo,SP,168,70.21,74.54,,2452.25,3323.5,5346.75,,,,46,2026-06-07
2026-06-07,santo-amaro,SANTO AMARO,São Paulo,SP,13,111.11,122.16,,3600.0,4500.0,10000.0,,,,74,2026-06-07
2026-06-07,sao-miguel,SAO MIGUEL,São Paulo,SP,13,41.56,41.56,,1600.0,1900.0,4637.5,,,,27,2026-06-07
2026-06-07,sao-rafael,SAO RAFAEL,São Paulo,SP,1,,,,,,,,,,50,2026-06-07
2026-06-07,saude,SAUDE,São Paulo,SP,339,87.62,92.34,,3000.0,3700.0,5731.0,,,,58,2026-06-07
2026-06-07,se,SE,São Paulo,SP,55,62.77,62.77,,1883.0,2561.0,3354.0,,,,41,2026-06-07
2026-06-07,tatuape,TATUAPE,São Paulo,SP,7,37.11,37.11,,2804.0,3500.0,7797.0,,,,24,2026-06-07
2026-06-07,vila-andrade,VILA ANDRADE,São Paulo,SP,33,64.32,71.25,,3561.0,5141.0,9684.0,,,,42,2026-06-07
2026-06-07,vila-formosa,VILA FORMOSA,São Paulo,SP,2,,,,,,,,,,50,2026-06-07
2026-06-07,vila-leopoldina,VILA LEOPOLDINA,São Paulo,SP,417,64.58,75.0,,4000.0,6500.0,12000.0,,,,43,2026-06-07
2026-06-07,vila-mariana,VILA MARIANA,São Paulo,SP,1190,80.0,94.67,,3150.0,4640.5,10500.0,,,,53,2026-06-07
2026-06-07,vila-sonia,VILA SONIA,São Paulo,SP,22,56.34,56.34,,2816.5,4654.5,9896.75,,,,37,2026-06-07
