group_id,filepath,size_mb,feature_count,minx,miny,maxx,maxy,centroid_x,centroid_y,members
group_0001_db7383da,cache/green_tiles_v3/tiles_final/group_0001_db7383da.gpkg,0.102,5,337406.081500,7375742.818227,345406.081500,7383742.818227,341406.081500,7379742.818227,tile_d00_x00003_y00004
group_0002_f9feff5e,cache/green_tiles_v3/tiles_final/group_0002_f9feff5e.gpkg,0.176,29,337406.081500,7415742.818227,345406.081500,7416156.351974,341406.081500,7415949.585100,tile_d00_x00003_y00009
group_0003_e08d4973,cache/green_tiles_v3/tiles_final/group_0003_e08d4973.gpkg,0.832,350,329406.081500,7343742.818227,337406.081500,7351742.818227,333406.081500,7347742.818227,tile_d00_x00002_y00000
group_0004_43961c8c,cache/green_tiles_v3/tiles_final/group_0004_43961c8c.gpkg,1.297,308,313406.081500,7343742.818227,321406.081500,7351742.818227,317406.081500,7347742.818227,tile_d00_x00000_y00000
group_0005_12cb22d3,cache/green_tiles_v3/tiles_final/group_0005_12cb22d3.gpkg,2.930,945,321406.081500,7343742.818227,329406.081500,7351742.818227,325406.081500,7347742.818227,tile_d00_x00001_y00000
group_0006_143d28c1,cache/green_tiles_v3/tiles_final/group_0006_143d28c1.gpkg,2.941,353,329406.081500,7407742.818227,337406.081500,7415742.818227,333406.081500,7411742.818227,tile_d00_x00002_y00008
group_0007_70396eab,cache/green_tiles_v3/tiles_final/group_0007_70396eab.gpkg,4.125,3746,321406.081500,7379742.818227,325406.081500,7383742.818227,323406.081500,7381742.818227,tile_d01_x00002_y00009
group_0008_45fcb4f2,cache/green_tiles_v3/tiles_final/group_0008_45fcb4f2.gpkg,4.395,3081,333406.081500,7391742.818227,337406.081500,7395742.818227,335406.081500,7393742.818227,tile_d01_x00005_y00012
group_0009_e69f5486,cache/green_tiles_v3/tiles_final/group_0009_e69f5486.gpkg,4.633,2096,321406.081500,7407742.818227,329406.081500,7415742.818227,325406.081500,7411742.818227,tile_d00_x00001_y00008
group_0010_83506e05,cache/green_tiles_v3/tiles_final/group_0010_83506e05.gpkg,4.785,2289,333406.081500,7395742.818227,337406.081500,7399742.818227,335406.081500,7397742.818227,tile_d01_x00005_y00013
group_0011_87130ba2,cache/green_tiles_v3/tiles_final/group_0011_87130ba2.gpkg,4.883,4324,321406.081500,7371742.818227,325406.081500,7375742.818227,323406.081500,7373742.818227,tile_d01_x00002_y00007
